Event_ID,Timestamp,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Count,Bytes_Sent,Bytes_Received,Connection_Duration,Request_Count,Response_Time,Login_Attempts,Failed_Login_Count,Successful_Login_Count,Session_Duration,Authentication_Method,Malware_Detected,Firewall_Status,Antivirus_Status,Encryption_Used,Suspicious_URL,Unusual_Port,Multiple_Failed_Logins,Anomaly_Score,Risk_Score,Threat_Type,Attack_Type,Attack_Vector,Severity,Threat_Status,Detection_Method,Device_Type,Operating_System,Browser,Country,Region,Network_Type,Is_Threat,Is_Malicious,Incident_Status
EVT103603,2025-03-03 22:10:42,23.20.240.114,192.168.188.64,21,110,SSH,276,4241,10185.0,43.93,17,1.156,2,1,1,6.35,Password,0,Active,Updated,0,0,0,0,29.21,14.89,None,None,None,Low,N/A,Firewall,Desktop,Linux,Edge,Canada,Central,Mobile Data,0,0,Resolved
EVT101072,2025-01-19 00:36:32,37.158.76.250,192.168.133.207,36093,54321,HTTP,779,69132,42544.0,43.14,112,3.103,7,7,0,10.06,Biometric,1,Inactive,Disabled,0,0,1,1,89.68,96.39,Malware,Malware,USB Device,Medium,Contained,Manual Review,IoT Device,iOS,Edge,Singapore,West,Public Network,1,0,Resolved
EVT101365,2025-01-24 04:35:42,47.89.18.163,62.245.195.183,3389,3389,SSH,90,5888,6039.0,28.47,7,0.938,2,1,1,23.15,MFA,0,Active,Updated,1,0,0,0,33.81,20.04,None,None,None,Low,N/A,Antivirus,IoT Device,Linux,Chrome,Russia,East,Wi-Fi,0,0,Resolved
EVT100833,2025-01-14 21:37:58,176.74.97.207,147.172.61.65,21,25,SSH,110,7862,5993.0,11.76,9,0.373,2,1,1,6.72,MFA,0,Active,Updated,1,0,0,0,2.41,12.57,None,None,None,Low,N/A,Antivirus,IoT Device,macOS,Unknown,USA,South,Public Network,0,0,False Positive
EVT101169,2025-01-20 19:26:25,192.168.80.156,24.195.144.178,3389,110,HTTP,206,6122,7094.0,32.05,21,0.356,3,2,1,15.23,SSO,0,Active,Updated,1,0,0,0,34.47,16.47,None,None,None,Low,N/A,Manual Review,Laptop,Windows 11,Opera,Canada,East,VPN,0,0,Resolved
EVT101232,2025-01-21 21:00:20,192.168.184.71,192.168.42.96,30017,3306,HTTPS,82,3657,4739.0,64.48,18,1.004,3,2,1,12.92,MFA,0,Active,Outdated,0,0,0,0,28.08,26.88,None,None,None,Low,N/A,IDS/IPS,Tablet,Windows Server 2019,Opera,Canada,Central,Mobile Data,0,0,Resolved
EVT104455,2025-03-18 20:30:59,192.168.120.47,19.56.62.226,53,80,ICMP,178,2713,7310.0,25.4,39,1.099,1,0,1,21.55,Not_Used,0,Active,Updated,1,0,0,0,22.67,47.19,None,None,None,Low,N/A,SIEM,Tablet,Windows 10,Unknown,India,East,Wi-Fi,0,0,Resolved
EVT102631,2025-02-15 11:53:56,192.168.73.71,170.140.199.210,443,110,SSH,194,4876,7898.0,42.14,30,0.888,4,3,1,22.88,Password,0,Misconfigured,Outdated,0,0,0,0,39.93,18.42,None,None,None,Low,N/A,SIEM,Server,Windows 10,Edge,Australia,West,Wi-Fi,0,0,Resolved
EVT100640,2025-01-11 15:14:09,192.168.98.197,192.168.87.219,22,110,ICMP,176,5104,5754.0,59.06,27,1.141,2,1,1,18.53,Token,0,Misconfigured,Updated,0,0,0,0,29.33,15.1,None,None,None,Low,N/A,No_Detection,Server,Windows Server 2019,Unknown,UK,East,Public Network,0,0,Resolved
EVT104138,2025-03-13 14:54:43,192.168.213.23,192.168.158.102,25,8080,DNS,141,8889,5162.0,34.24,33,0.305,2,1,1,62.04,Password,0,Active,Updated,0,0,0,0,0.0,36.16,None,None,None,Low,N/A,Antivirus,Mobile,iOS,Unknown,,South,Wi-Fi,0,0,Resolved
EVT104577,2025-03-20 22:45:11,9.247.107.73,202.214.247.85,8080,25,TCP,133,174,6831.0,39.69,11,1.179,1,1,0,35.75,SSO,0,Active,Updated,1,0,0,0,21.25,18.92,None,None,None,Low,N/A,Antivirus,Mobile,Linux,Opera,Germany,West,Wi-Fi,0,0,Resolved
EVT104003,2025-03-10 21:34:51,192.168.99.72,192.168.192.184,8080,8080,SSH,111,4152,3303.0,26.19,11,0.895,1,0,1,4.63,SSO,0,Active,Updated,1,0,0,0,36.16,5.19,None,None,None,Low,N/A,Antivirus,Server,Windows Server 2019,Safari,Australia,West,Mobile Data,0,0,Resolved
EVT104017,2025-03-11 05:00:46,147.27.29.23,162.97.185.148,3306,8080,DNS,49,10949,5825.0,21.2,18,0.368,3,2,1,14.84,Token,0,Active,Disabled,0,0,0,0,25.21,32.41,None,None,None,Low,N/A,No_Detection,Desktop,Android,Firefox,India,North,Public Network,0,0,False Positive
EVT101657,2025-01-29 06:59:46,88.77.174.212,213.17.0.134,53,8080,HTTPS,84,5261,3112.0,13.34,27,0.781,1,0,1,40.04,Biometric,0,Active,Updated,1,0,0,0,10.36,2.67,None,None,None,Low,N/A,Firewall,Laptop,macOS,Firefox,USA,South,VPN,0,0,Resolved
EVT102680,2025-02-16 07:14:11,192.168.124.30,100.148.46.203,443,443,HTTP,258,42163,19007.0,66.49,0,5.763,9,8,1,6.65,Password,1,Active,Updated,1,0,0,1,52.96,90.04,DDoS,DDoS,Social Engineering,Medium,Investigating,Antivirus,Laptop,Windows 10,Safari,Germany,Central,Mobile Data,1,1,Resolved
EVT102657,2025-02-15 22:51:15,192.168.24.214,192.168.3.150,54030,25,HTTPS,197,9421,8530.0,25.53,3,1.667,2,1,1,12.95,SSO,1,Inactive,Disabled,1,0,0,0,32.93,18.01,None,None,None,Low,N/A,Firewall,Tablet,Windows Server 2019,Unknown,Brazil,East,Wi-Fi,0,0,Resolved
EVT104804,2025-03-25 04:41:44,192.168.151.156,192.168.89.188,3377,3306,DNS,51,4588,7776.0,64.76,12,0.825,1,0,1,8.73,MFA,0,Active,Updated,1,0,0,0,19.94,0.0,None,None,None,Low,N/A,IDS/IPS,IoT Device,macOS,Opera,Brazil,South,Public Network,0,0,False Positive
EVT100458,2025-01-08 08:19:14,192.168.247.166,77.64.50.84,443,8080,ICMP,40,3262,8128.0,35.94,21,1.394,0,0,0,11.36,Not_Used,0,Inactive,Updated,1,0,0,0,36.69,22.21,None,None,None,Low,N/A,Firewall,IoT Device,Windows Server 2019,Opera,Canada,North,Mobile Data,0,0,Resolved
EVT103670,2025-03-04 20:01:45,192.168.121.158,173.163.0.88,21,80,HTTP,138,5758,7715.0,38.15,1,1.542,0,0,0,24.77,Password,0,Active,Updated,1,0,0,0,0.59,18.1,None,None,None,Low,N/A,No_Detection,Server,Windows 10,Edge,India,North,Mobile Data,0,0,Resolved
EVT101478,2025-01-26 01:52:34,192.168.28.81,169.197.183.171,64220,3389,DNS,283,780,4365.0,14.56,13,0.951,2,2,0,41.43,Password,0,Active,Updated,1,0,0,0,40.31,14.61,None,None,None,Low,N/A,IDS/IPS,Tablet,Linux,Chrome,France,North,Mobile Data,0,0,Resolved
EVT100789,2025-01-14 03:24:19,155.51.185.30,192.168.135.197,53,53,UDP,181,4191,10232.0,11.5,17,0.456,2,1,1,25.46,Token,0,Active,Updated,1,0,0,0,10.9,24.24,None,None,None,Low,N/A,No_Detection,Mobile,macOS,Opera,South Africa,Central,Wi-Fi,0,0,Resolved
EVT102395,2025-02-10 23:16:31,192.168.68.65,129.114.183.22,14364,21,HTTP,113,3356,4326.0,8.18,15,0.383,3,2,1,36.83,SSO,0,Active,Updated,1,0,0,0,9.25,0.0,None,None,None,Low,N/A,Antivirus,IoT Device,Windows 11,Unknown,Brazil,West,Public Network,0,0,Resolved
EVT103591,2025-03-03 13:09:34,119.85.197.235,192.168.124.32,8080,8080,FTP,788,74662,4813.0,34.56,157,7.186,9,8,1,4.97,Not_Used,1,Active,Outdated,1,0,0,1,100.0,63.72,Phishing,Phishing,Remote Desktop,Medium,Active,Antivirus,Server,Windows 11,Opera,UK,Central,Public Network,1,1,Under Investigation
EVT104444,2025-03-18 13:19:50,131.176.27.39,1.81.24.235,14955,3389,HTTPS,89,5420,1077.0,34.26,33,1.027,2,1,1,12.45,MFA,0,Active,,0,0,0,0,27.72,22.43,None,None,None,Low,N/A,Antivirus,Tablet,Windows 11,Safari,France,East,Public Network,0,0,Resolved
EVT104182,2025-03-14 06:29:04,192.168.156.42,192.168.84.131,110,8080,HTTP,238,4893,3615.0,32.55,20,1.222,2,1,1,24.22,Token,0,Active,Outdated,0,0,0,0,22.01,20.26,None,None,None,Low,N/A,IDS/IPS,Mobile,macOS,Unknown,South Africa,West,Wi-Fi,0,0,Resolved
EVT102508,2025-02-13 08:05:17,109.172.65.156,192.168.211.61,2893,80,DNS,171,7717,6318.0,47.33,26,0.679,2,1,1,19.29,Token,0,Inactive,Updated,1,0,0,0,22.73,32.02,None,None,None,Low,N/A,IDS/IPS,Mobile,Windows 10,Safari,Russia,South,Mobile Data,0,0,Resolved
EVT101374,2025-01-24 06:57:53,138.85.169.206,192.168.153.246,80,53,TCP,579,98878,39823.0,190.94,121,2.391,1,0,1,17.13,Token,1,Active,Outdated,0,0,0,0,88.51,100.0,Ransomware,Ransomware,API,High,Contained,SIEM,Server,Windows Server 2019,Edge,France,North,Public Network,1,1,Resolved
EVT104070,2025-03-12 05:35:22,192.168.48.56,196.87.84.107,22,110,HTTP,179,6356,2966.0,21.55,20,1.56,2,1,1,8.12,Token,0,Active,Updated,1,0,0,0,5.76,40.03,None,None,None,Low,N/A,Antivirus,Tablet,Android,Opera,Japan,North,VPN,0,0,False Positive
EVT100395,2025-01-07 09:46:02,40.157.208.174,192.168.166.47,80,80,HTTPS,149,2684,2304.0,15.95,21,0.247,3,2,1,41.92,MFA,0,Active,Updated,0,0,0,0,25.58,5.0,None,None,None,Low,N/A,Antivirus,Server,Windows Server 2019,Chrome,USA,Central,Mobile Data,0,0,Resolved
EVT103870,2025-03-08 13:15:12,192.168.78.157,192.168.21.113,3306,8080,FTP,236,6898,8150.0,23.74,6,0.495,2,1,1,6.15,Token,0,Active,Updated,1,0,0,0,20.93,16.39,None,None,None,Low,N/A,No_Detection,Laptop,iOS,Opera,Germany,Central,Mobile Data,0,0,Resolved
EVT100214,2025-01-04 15:07:16,165.223.141.216,192.168.169.225,3306,54321,HTTPS,1387,35808,10908.0,20.55,159,7.217,14,13,1,24.96,Token,1,Inactive,Disabled,0,0,1,1,90.8,61.57,Phishing,Phishing,API,Medium,Investigating,IDS/IPS,Tablet,iOS,Chrome,Nigeria,North,Wi-Fi,1,1,Resolved
EVT104743,2025-03-23 19:52:35,192.168.104.116,192.168.123.95,3306,110,FTP,257,1411,1714.0,32.83,16,0.581,2,1,1,30.96,Token,0,Active,Updated,1,0,0,0,30.01,13.15,None,None,None,Low,N/A,SIEM,Mobile,iOS,Edge,Russia,South,Mobile Data,0,0,False Positive
EVT104730,2025-03-23 15:32:28,192.168.134.110,141.99.15.204,53,21,DNS,37,6049,6599.0,33.61,26,1.084,1,0,1,21.47,Password,0,Active,Updated,1,0,0,0,23.5,7.85,None,None,None,Low,N/A,Antivirus,Server,Linux,Opera,India,Central,Mobile Data,0,0,False Positive
EVT101687,2025-01-29 21:42:36,192.168.234.54,192.168.140.23,53,80,SSH,119,7023,5576.0,36.01,23,0.399,2,1,1,10.98,MFA,0,Active,Updated,0,0,0,0,9.26,22.63,None,None,None,Low,N/A,No_Detection,Laptop,macOS,Chrome,USA,South,Public Network,0,0,False Positive
EVT104540,2025-03-20 08:41:13,211.189.228.230,183.80.163.168,110,31337,UDP,1354,45207,18113.0,10.15,118,0.729,8,8,0,7.89,Password,1,Misconfigured,Outdated,0,1,1,1,64.43,86.71,SQL Injection,SQL Injection,Remote Desktop,Medium,Active,Firewall,Server,Windows Server 2019,Unknown,Australia,North,Mobile Data,1,1,Under Investigation
EVT104678,2025-03-22 16:05:07,192.168.79.43,50.185.176.138,3306,110,DNS,104,5658,2042.0,26.25,9,0.666,2,2,0,5.77,MFA,0,Active,Updated,1,0,0,0,23.0,37.0,None,None,None,Low,N/A,No_Detection,IoT Device,Android,Safari,Germany,East,Public Network,0,0,Resolved
EVT101151,2025-01-20 09:59:59,21.91.5.189,208.73.152.42,9432,53,HTTP,186,4355,7179.0,33.18,35,1.324,2,1,1,17.6,Token,0,Active,Updated,1,0,0,0,1.62,17.63,None,None,None,Low,N/A,Firewall,Desktop,Linux,Edge,Brazil,North,LAN,0,0,False Positive
EVT104622,2025-03-21 17:57:42,192.168.86.194,192.168.47.180,3306,25,FTP,129,3775,,18.36,19,,4,3,1,22.9,Not_Used,0,Active,Updated,1,0,0,0,18.4,8.1,None,None,None,Low,N/A,EDR,IoT Device,Windows Server 2019,Opera,Brazil,East,Public Network,0,0,Resolved
EVT104400,2025-03-17 18:34:35,137.176.216.176,192.168.101.50,443,54321,HTTP,683,31126,3387.0,154.27,148,7.272,10,9,1,22.52,Password,0,Misconfigured,Outdated,1,0,1,1,88.19,72.12,Port Scanning,Port Scanning,USB Device,Low,Contained,IDS/IPS,Mobile,Windows 10,Safari,Brazil,East,Wi-Fi,1,1,False Positive
EVT104551,2025-03-20 11:47:15,115.120.115.229,116.188.26.64,3306,22,HTTP,876,48159,48805.0,59.47,218,2.142,9,8,1,13.98,SSO,1,Inactive,Updated,1,0,0,1,70.04,68.52,DDoS,DDoS,Email,High,Investigating,SIEM,IoT Device,Windows 11,Firefox,China,East,VPN,1,1,Resolved
EVT103094,2025-02-23 13:51:18,102.186.1.192,162.49.208.172,3389,53,UDP,196,8932,4883.0,38.99,34,0.93,0,0,0,2.72,Biometric,0,Active,Updated,1,0,0,0,44.64,22.75,None,None,None,Low,N/A,Manual Review,Desktop,Windows Server 2019,Chrome,France,West,Wi-Fi,0,0,Resolved
EVT101714,2025-01-30 08:42:30,116.50.211.198,192.168.206.64,27158,25,ICMP,158,4392,2562.0,20.65,40,0.916,1,0,1,13.98,Token,0,Active,Updated,1,0,0,0,0.0,14.6,None,None,None,Low,N/A,Firewall,Laptop,Windows 11,Edge,Germany,West,Public Network,0,0,Resolved
EVT101627,2025-01-28 16:53:21,147.197.8.229,161.197.151.95,60225,53,HTTPS,184,3447,8179.0,29.63,20,0.815,2,1,1,41.72,Password,0,Active,Updated,1,0,0,0,40.48,16.5,None,None,None,Low,N/A,IDS/IPS,IoT Device,Windows Server 2019,Firefox,Canada,Central,LAN,0,0,Resolved
EVT101341,2025-01-23 15:50:59,192.168.160.26,192.168.143.97,80,443,HTTPS,187,7492,2475.0,7.01,20,0.493,1,0,1,25.48,Password,0,Active,Updated,1,0,0,0,19.73,11.41,None,None,None,Low,N/A,Firewall,Desktop,macOS,Firefox,Germany,North,Mobile Data,0,0,Resolved
EVT100940,2025-01-16 16:43:26,1.42.69.47,192.168.160.201,36693,110,FTP,184,407,5097.0,24.5,34,0.583,2,1,1,32.67,,0,Inactive,Updated,1,0,0,0,11.31,11.44,None,None,None,Low,N/A,Firewall,Tablet,Windows 10,Chrome,Australia,North,VPN,0,0,Resolved
EVT101139,2025-01-20 02:53:10,110.17.172.231,192.168.126.114,25,3389,HTTP,208,1227,7620.0,29.4,21,1.327,1,1,0,38.05,Biometric,0,Active,Updated,1,0,0,0,43.59,23.49,None,None,None,Low,N/A,SIEM,Laptop,Windows Server 2019,Safari,Canada,North,Mobile Data,0,0,Resolved
EVT103928,2025-03-09 17:07:44,192.168.82.110,192.168.190.22,53,25,UDP,31,4684,121.0,37.36,18,0.612,1,0,1,13.89,Not_Used,0,Active,Outdated,1,0,0,0,49.57,27.22,None,None,None,Low,N/A,Firewall,Server,Windows 10,Chrome,Germany,North,LAN,0,0,Resolved
EVT100320,2025-01-06 10:05:24,192.168.106.202,159.171.28.132,25313,53,TCP,105,4209,9824.0,36.49,8,0.963,3,2,1,,Biometric,0,Active,Updated,1,0,0,0,26.65,24.3,None,None,None,Low,N/A,SIEM,Desktop,iOS,,Nigeria,North,Mobile Data,0,0,Resolved
EVT100256,2025-01-05 11:08:55,111.165.123.145,97.130.184.247,3306,3306,SSH,157,2417,6002.0,25.34,15,0.883,4,3,1,35.72,Not_Used,0,Active,Updated,1,0,0,0,19.25,21.68,None,None,None,Low,N/A,Firewall,Laptop,Android,Firefox,UK,South,VPN,0,0,Resolved
EVT100642,2025-01-11 15:36:22,66.150.191.7,192.168.195.84,8080,21,HTTP,1019,65913,38279.0,88.48,6,3.64,4,4,0,27.27,Password,1,Inactive,Updated,0,0,0,0,79.4,75.36,Phishing,Phishing,Web Application,Medium,Contained,EDR,Server,Windows 10,Unknown,Japan,West,LAN,1,1,Escalated
EVT102420,2025-02-11 10:22:25,101.15.40.127,197.44.193.79,80,80,TCP,47,5409,8397.0,37.79,15,1.333,3,2,1,12.3,SSO,0,Active,Updated,0,0,0,0,33.17,25.17,None,None,None,Low,N/A,Antivirus,Desktop,Windows Server 2019,Unknown,Australia,Central,Public Network,0,0,Resolved
EVT101303,2025-01-23 03:01:49,192.168.234.160,192.168.93.33,443,25,HTTP,1247,81219,20548.0,48.06,193,3.142,0,0,0,5.83,Password,0,Misconfigured,Outdated,1,1,0,0,96.17,79.98,Ransomware,Ransomware,Social Engineering,Medium,Active,EDR,Laptop,macOS,Safari,South Africa,Central,Wi-Fi,1,1,Resolved
EVT105026,2025-03-28 22:00:50,76.137.144.179,153.3.101.167,31038,3389,HTTP,158,7785,8650.0,22.45,41,0.252,1,1,0,6.05,MFA,0,Active,Updated,1,0,0,0,5.37,18.21,None,None,None,Low,N/A,Firewall,Tablet,Windows 10,Edge,Germany,West,Mobile Data,0,0,Resolved
EVT101962,2025-02-03 12:40:18,192.168.0.50,192.168.107.129,32793,22,FTP,227,7401,7441.0,55.37,29,1.357,1,0,1,28.77,Token,0,Misconfigured,Outdated,0,0,0,0,29.78,38.27,None,None,None,Low,N/A,SIEM,Mobile,Windows 10,Edge,Brazil,Central,LAN,0,0,Resolved
EVT103519,2025-03-02 11:17:17,160.127.193.40,192.168.123.198,21,110,HTTP,215,7036,7073.0,27.03,4,1.904,3,3,0,17.09,Token,0,Active,Updated,1,0,0,0,20.18,12.01,None,None,None,Low,N/A,IDS/IPS,Mobile,Linux,Edge,Nigeria,Central,LAN,0,0,Resolved
EVT104183,2025-03-14 06:30:20,192.168.206.98,192.168.252.50,110,110,SSH,204,5058,7029.0,19.41,16,0.278,2,1,1,,Password,0,Active,Updated,1,0,0,0,51.16,32.52,None,None,None,Low,N/A,Antivirus,Server,iOS,Unknown,Nigeria,East,Public Network,0,0,False Positive
EVT100001,2025-01-01 00:03:58,192.168.142.208,195.81.216.88,25,22,HTTP,113,1697,6751.0,62.51,8,1.24,2,1,1,14.87,Password,0,Inactive,Updated,0,0,0,0,14.81,39.86,None,None,None,Low,N/A,Firewall,Mobile,Android,Edge,South Africa,North,Public Network,0,0,Resolved
EVT101512,2025-01-26 17:07:42,18.70.64.253,192.168.69.225,22,80,SSH,83,2563,4817.0,23.81,25,0.931,2,1,1,4.6,Password,0,Active,Updated,0,0,0,0,24.82,17.76,None,None,None,Low,N/A,Antivirus,Mobile,Windows 10,Safari,Japan,North,LAN,0,0,False Positive
EVT100503,2025-01-09 00:51:55,192.168.239.165,210.238.55.22,22,443,SSH,187,9264,3526.0,40.86,18,1.098,0,0,0,23.19,MFA,0,Active,Outdated,1,0,0,0,11.82,21.05,None,None,None,Low,N/A,Antivirus,Mobile,Android,Safari,Brazil,West,Wi-Fi,0,0,Resolved
EVT100111,2025-01-02 23:47:12,192.168.73.253,57.211.153.71,80,8080,ICMP,166,1205,3683.0,22.12,23,1.038,1,1,0,15.88,Token,0,Active,Updated,1,0,0,0,32.82,4.04,None,None,None,Low,N/A,Antivirus,Tablet,iOS,Safari,South Africa,Central,VPN,0,0,False Positive
EVT102462,2025-02-12 09:58:49,192.168.157.234,150.249.20.125,443,443,FTP,125,3614,6355.0,28.94,1,1.494,1,0,1,20.66,Password,0,Active,Updated,1,0,0,0,14.39,11.08,None,None,None,Low,N/A,Firewall,Server,Windows 11,Firefox,Russia,North,LAN,0,0,Resolved
EVT102426,2025-02-11 12:57:50,78.217.197.180,161.23.231.103,21,25,ICMP,196,5319,8538.0,46.65,5,1.069,3,3,0,30.93,MFA,0,Active,Updated,0,0,0,0,39.81,29.12,None,None,None,Low,N/A,IDS/IPS,Laptop,Windows 10,Edge,Canada,Central,Public Network,0,0,False Positive
EVT103933,2025-03-09 19:24:15,192.168.163.171,192.168.186.190,22812,443,UDP,101,8407,5262.0,21.53,30,1.407,2,1,1,25.02,Biometric,0,Active,Outdated,1,0,0,0,19.62,38.42,None,None,None,Low,N/A,SIEM,Tablet,Windows 10,Unknown,UK,East,LAN,0,0,False Positive
EVT100063,2025-01-02 02:47:33,169.136.14.47,192.168.158.236,53,31337,ICMP,474,39713,11782.0,56.88,67,4.832,7,7,0,44.23,Password,0,Misconfigured,Disabled,0,1,1,1,83.05,54.6,DDoS,DDoS,Social Engineering,High,Active,Firewall,Server,Linux,Safari,Australia,South,VPN,1,1,Under Investigation
EVT101212,2025-01-21 12:59:18,114.215.254.81,192.168.39.254,8080,8080,TCP,184,6355,4638.0,33.51,16,0.746,1,0,1,29.14,Biometric,0,Active,Updated,1,0,0,0,46.19,0.0,None,None,None,Low,N/A,Antivirus,Laptop,macOS,Safari,Russia,North,Mobile Data,0,0,Resolved
EVT101119,2025-01-19 19:34:05,192.168.229.88,204.50.67.47,3389,1337,UDP,607,46612,6269.0,244.27,228,5.293,7,7,0,9.09,MFA,0,Active,Disabled,0,1,1,1,70.39,88.43,Man-in-the-Middle,Man-in-the-Middle,API,Critical,Contained,SIEM,IoT Device,iOS,Safari,UK,South,Wi-Fi,1,1,Escalated
